
 ____________________________________________________________________________________________
 Temperature: T =    300.00000000000000      K
 Chemical potential: mu =   -750.45348237850499      eV
 Composition: x =   0.12499999998746966     

  n      m     omega(n,m)       E(n,m)          E-n*mu         prob(n,m,T)   prob(n,m,T)/omega    
  0      1        1           -61059.13561      -61059.13561    0.185443E+00    0.185443E+00
  1      1       16           -61809.52206      -61059.06858    0.221923E+00    0.138702E-01
  2      1       48           -62559.91747      -61059.01051    0.704427E-01    0.146756E-02
  2      2       24           -62559.92649      -61059.01953    0.499212E-01    0.208005E-02
  2      3       48           -62559.93679      -61059.02982    0.148689E+00    0.309769E-02
  3      1       48           -63310.31227      -61058.95182    0.727638E-02    0.151591E-03
  3      2       32           -63310.31342      -61058.95298    0.507275E-02    0.158524E-03
  3      3       96           -63310.32148      -61058.96103    0.207818E-01    0.216477E-03
  3      4      192           -63310.33108      -61058.97063    0.602610E-01    0.313859E-03
  3      5       96           -63310.33003      -61058.96958    0.289256E-01    0.301309E-03
  3      6       48           -63310.32923      -61058.96879    0.140259E-01    0.292207E-03
  3      7       32           -63310.36223      -61059.00178    0.335118E-01    0.104725E-02
  3      8       16           -63310.29084      -61058.93040    0.105902E-02    0.661887E-04
  4      1       12           -64060.69708      -61058.88315    0.127701E-03    0.106417E-04
  4      2      192           -64060.71656      -61058.90263    0.434158E-02    0.226124E-04
  4      3      192           -64060.71491      -61058.90098    0.407219E-02    0.212093E-04
  4      4       96           -64060.72606      -61058.91213    0.313492E-02    0.326555E-04
  4      5       24           -64060.72769      -61058.91376    0.834608E-03    0.347753E-04
  4      6       96           -64060.73540      -61058.92148    0.449969E-02    0.468718E-04
  4      7       48           -64060.73390      -61058.91997    0.212285E-02    0.442261E-04
  4      8       96           -64060.71444      -61058.90051    0.199995E-02    0.208328E-04
  4      9      192           -64060.73261      -61058.91868    0.807778E-02    0.420718E-04
  4     10       96           -64060.75440      -61058.94047    0.938067E-02    0.977153E-04
  4     11       96           -64060.75643      -61058.94250    0.101478E-01    0.105706E-03
  4     12       96           -64060.72217      -61058.90824    0.269698E-02    0.280936E-04
  4     13       96           -64060.69587      -61058.88194    0.975120E-03    0.101575E-04
  4     14       96           -64060.72462      -61058.91069    0.296519E-02    0.308874E-04
  4     15       96           -64060.73338      -61058.91945    0.416019E-02    0.433354E-04
  4     16      192           -64060.74358      -61058.92965    0.123451E-01    0.642976E-04
  4     17       48           -64060.73462      -61058.92069    0.218230E-02    0.454646E-04
  4     18       24           -64060.74005      -61058.92612    0.134629E-02    0.560954E-04
  4     19        8           -64060.70845      -61058.89452    0.132178E-03    0.165223E-04
  4     20        4           -64060.71469      -61058.90076    0.841216E-04    0.210304E-04
  4     21       12           -64060.72936      -61058.91543    0.445186E-03    0.370988E-04
  4     22        8           -64060.80941      -61058.99548    0.656416E-02    0.820520E-03
  5      1       96           -64811.10732      -61058.83991    0.191843E-03    0.199836E-05
  5      2      192           -64811.12798      -61058.86057    0.853062E-03    0.444303E-05
  5      3       48           -64811.11935      -61058.85194    0.152748E-03    0.318226E-05
  5      4      192           -64811.11591      -61058.84849    0.534786E-03    0.278535E-05
  5      5       96           -64811.13305      -61058.86564    0.519067E-03    0.540695E-05
  5      6      192           -64811.14693      -61058.87952    0.177559E-02    0.924788E-05
  5      7       96           -64811.14333      -61058.87592    0.772359E-03    0.804541E-05
  5      8       96           -64811.11657      -61058.84916    0.274318E-03    0.285748E-05
  5      9       96           -64811.15908      -61058.89167    0.142044E-02    0.147963E-04
  5     10      192           -64811.12358      -61058.85617    0.719722E-03    0.374855E-05
  5     11       96           -64811.15460      -61058.88719    0.119439E-02    0.124416E-04
  5     12       96           -64811.13429      -61058.86688    0.544571E-03    0.567262E-05
  5     13       48           -64811.09652      -61058.82911    0.631538E-04    0.131570E-05
  5     14       96           -64811.09885      -61058.83144    0.138247E-03    0.144007E-05
  5     15       96           -64811.10455      -61058.83714    0.172330E-03    0.179511E-05
  5     16      192           -64811.12491      -61058.85750    0.757601E-03    0.394584E-05
  5     17      192           -64811.13724      -61058.86983    0.122075E-02    0.635806E-05
  5     18      192           -64811.14338      -61058.87597    0.154789E-02    0.806192E-05
  5     19      192           -64811.14607      -61058.87866    0.171763E-02    0.894599E-05
  5     20      192           -64811.15355      -61058.88614    0.229397E-02    0.119478E-04
  5     21       96           -64811.14266      -61058.87525    0.752657E-03    0.784018E-05
  5     22       96           -64811.16473      -61058.89732    0.176728E-02    0.184092E-04
  5     23      192           -64811.12660      -61058.85919    0.808844E-03    0.421273E-05
  5     24      192           -64811.13486      -61058.86745    0.111347E-02    0.579931E-05
  5     25      192           -64811.15418      -61058.88677    0.235038E-02    0.122416E-04
  5     26      192           -64811.14948      -61058.88207    0.195966E-02    0.102066E-04
  5     27       96           -64811.13234      -61058.86493    0.504967E-03    0.526007E-05
  5     28       96           -64811.14099      -61058.87358    0.705656E-03    0.735058E-05
  5     29       96           -64811.10918      -61058.84177    0.206154E-03    0.214744E-05
  5     30       48           -64811.11499      -61058.84758    0.129052E-03    0.268859E-05
  5     31       48           -64811.12250      -61058.85509    0.172529E-03    0.359434E-05
  5     32       96           -64811.15092      -61058.88351    0.103604E-02    0.107921E-04
  5     33       96           -64811.15329      -61058.88588    0.113560E-02    0.118291E-04
  5     34       48           -64811.17400      -61058.90659    0.126475E-02    0.263490E-04
  5     35       96           -64811.20776      -61058.94035    0.933709E-02    0.972614E-04
  6      1       48           -65561.52021      -61058.79931    0.199500E-04    0.415626E-06
  6      2       96           -65561.51663      -61058.79574    0.347469E-04    0.361947E-06
  6      3       96           -65561.53725      -61058.81635    0.771227E-04    0.803362E-06
  6      4       96           -65561.55042      -61058.82952    0.128370E-03    0.133718E-05
  6      5      192           -65561.54507      -61058.82418    0.208777E-03    0.108738E-05
  6      6      192           -65561.52659      -61058.80570    0.102157E-03    0.532066E-06
  6      7      192           -65561.55623      -61058.83533    0.321412E-03    0.167402E-05
  6      8       16           -65561.58156      -61058.86067    0.713630E-04    0.446019E-05
  6      9       48           -65561.53048      -61058.80958    0.296783E-04    0.618297E-06
  6     10      192           -65561.50648      -61058.78558    0.469191E-04    0.244371E-06
  6     11       96           -65561.50926      -61058.78836    0.261209E-04    0.272093E-06
  6     12       32           -65561.53261      -61058.81172    0.214905E-04    0.671579E-06
  6     13      192           -65561.53638      -61058.81548    0.149147E-03    0.776806E-06
  6     14      192           -65561.55508      -61058.83418    0.307452E-03    0.160131E-05
  6     15      192           -65561.56568      -61058.84478    0.463303E-03    0.241304E-05
  6     16      192           -65561.52769      -61058.80680    0.106585E-03    0.555130E-06
  6     17      192           -65561.54578      -61058.82488    0.214533E-03    0.111736E-05
  6     18       64           -65561.54481      -61058.82391    0.688881E-04    0.107638E-05
  6     19      192           -65561.55339      -61058.83250    0.288074E-03    0.150038E-05
  6     20       96           -65561.56876      -61058.84786    0.260952E-03    0.271825E-05
  6     21      192           -65561.56988      -61058.84899    0.545096E-03    0.283904E-05
  6     22      192           -65561.54427      -61058.82337    0.202361E-03    0.105396E-05
  6     23      192           -65561.55311      -61058.83221    0.284904E-03    0.148388E-05
  6     24      192           -65561.57385      -61058.85295    0.635451E-03    0.330964E-05
  6     25      192           -65561.56475      -61058.84386    0.446950E-03    0.232786E-05
  6     26       96           -65561.58096      -61058.86007    0.418420E-03    0.435854E-05
  6     27      192           -65561.56031      -61058.83942    0.376433E-03    0.196059E-05
  6     28       96           -65561.53571      -61058.81482    0.726852E-04    0.757138E-06
  6     29      192           -65561.55869      -61058.83779    0.353526E-03    0.184128E-05
  6     30      192           -65561.55524      -61058.83435    0.309396E-03    0.161144E-05
  6     31      192           -65561.55868      -61058.83778    0.353362E-03    0.184043E-05
  6     32      192           -65561.56461      -61058.84371    0.444519E-03    0.231520E-05
  6     33       48           -65561.50632      -61058.78542    0.116556E-04    0.242825E-06
  6     34      192           -65561.52438      -61058.80349    0.937720E-04    0.488396E-06
  6     35       32           -65561.54198      -61058.82109    0.308785E-04    0.964953E-06
